# MILPERSMAN ARTICLE INDEX — parsed from the official Whole MILPERSMAN PDF.
# Format: ARTICLE|TITLE|COGNIZANT OFFICE
# 793 active articles.

1306-987|Instructor Duty for Enlisted Medical Education and Training Campus (METC)|PERS-407
1306-989|Assignment to Cryptologic Warfare Maritime Activity Sixty One (CWMA-61)|PERS-408
1306-990|Defense Courier Duty|PERS-4010G
1306-991|Marine Barracks Washington, DC (8th and I)|PERS-4010F
1306-992|Assignment to Submarine Learning Center Staff or Site Instructor Duty|PERS-403
1306-993|Harbor Patrol Unit (HPU) Level II Coxswain (NEC 853A) - Master-At-Arms|PERS-405
1306-994|3-M System Coordinator at Sea and Shore|PERS-402
1306-995|Assignment to Cryptologic Aircrew Billets|PERS-408
1306-996|Naval Network Warfare Command Blue Teams|PERS-408
1306-997|Assignment to Navy Information Operations Detachment Jacksonville,|PERS-408
1306-999|Assignment to Naval Intelligence Special Career Program (NISCP)|NISCP/PERS-4010
1320-020|Message Orders for Inactive Duty Reserve Officers|PERS-812
1320-030|Delegation of Authority to Issue Orders and Administrative|PERS-455
1320-060|Permanent Change of Station Transfer Order (PCSTO), Delivery,|PERS-455
1320-090|Proceed Time in Execution of Orders|OPNAV (N13)
1320-100|Travel Time in Execution of Permanent Change of Station (PCS)|PERS-451
1320-110|Travel Time in Connection with Call to or Release from Active Duty|OPNAV (N13)
1320-120|Travel Orders for Patients and Attendants|PERS-83
1320-140|Permanent Change of Station (PCS) Transfer Order Reporting Policy|PERS-451
1320-170|Medical Examination of Firefighting Instructor Personnel|PERS-4415
1320-200|Temporary Duty Travel Entitlement Policy|OPNAV (N130C)
1320-210|Permissive Temporary Duty (PTDY) Authorization for House Hunting|OPNAV (N130)
1320-220|Permissive Temporary Duty (PTDY) Authorization for Job/House Hunting|OPNAV (N130E)
1320-300|Types of Orders|PERS-451
1320-306|Permanent Change of Station (PCS) Transfer Order Delivery|PERS-451
1320-307|Permanent Change of Station/Temporaty Additional Duty Warm Hand-off|PERS-451
1320-308|Permanent Change of Station (PCS) Transfer Order Execution|PERS-451
1320-310|Permanent Change of Station (PCS) Transfer Order|PERS-451
1320-311|Permanent Change of Station (PCS) Orders Modification|PERS-451
1320-312|Order Clarification and Claims|PERS-451
1320-314|Temporary Duty (TDY) Travel Orders|OPNAV (N130)
1320-316|General Court-Martial Orders|PERS-451
1320-320|Permanent Change of Station (PCS) Orders to Ships under|PERS-451
1320-322|Change of Homeport or Permanent Duty Station (PDS) of a|PERS-451
1320-324|Permanent Change of Station (PCS) Procedures for Forward|PERS-451
1320-326|Personnel Support Functions for NATO Southern Region|PERS-451
1321-020|Officer Flight Orders (Non-Aeronautically Designated)|PERS-435
1321-030|Officers Detailed to Recruiting Duty|CNRC (N1/N4)
1321-040|Detail of Chiefs of Staff, Executive Assistants, Flag Secretaries, Flag|PERS-44ES
1321-050|Assignment to Duty of Limited Duty Officers|OPNAV (N13)
1321-100|Orders for Officer Special Programs|PERS-451
1321-105|Active Component (AC), Indefinite Recall Program for Reserve Component|BUPERS-31
1321-110|Active Component (AC), MPN-Funded, Definite Recall Program for Officers|PERS-92
1326-010|Transfer of Enlisted Personnel on Bureau of Naval Personnel Orders|PERS-451
1326-020|Permanent and Temporary Flight Order to Enlisted Personnel|PERS-404E
1326-040|Military Personnel, Navy (MPN) - Funded Active Duty (ACDU) Definite Recall|OPNAV (N132)
1331-030|Officer Applications for Information Warfare Duty Assignment|PERS-472
1331-040|Navy Chaplain Corps (CHC) Officer Career Status|OPNAV (N097)
1401-010|Communication with Administrative Selection Boards|PERS-451F
1401-020|Advancement Exam Readiness Review (AERR)|NETPDC (N33)
1414-010|Swimmer Training and Qualifications|OPNAV (N13)
1420-010|Communication with Officer Promotion Selection Boards|PERS-80
1420-030|Regulations Governing Physical Examinations for Promotion of|PERS-80
1420-050|Counseling of Officers Who Fail to Select for Promotion|PERS-4
1420-060|Frocking of Enlisted Personnel|PERS-80
1420-070|Commander's Responsibility in the Review Process Involving Withhold or|PERS-833
1420-100|Joint Stamp Requirements for Active Duty and Reserve Full Time Support|PERS-450
1426-010|Permanent Appointment to Active Duty Chief Warrant Officer and Limited|PERS-801G
1427-010|Precedence Among Enlisted Members|PERS-812
1430-010|Accelerated Advancement of Recruit Training, Class “A”School Graduates,|PERS-812
1430-020|Advancement After Reduction in Rate|PERS-80
1430-040|Accelerated Advancement for Enlisted Musician (MU)|Fleet Band Activities
1430-050|Accelerated Advancement for Hospital Corpsmen Earning Independent Duty|BUPERS-325
1440-010|Conversion Authorization|BUPERS-32
1440-011|Forced Conversion|BUPERS-32
1440-020|Conversion to the Navy Counselor (NC) (Counselor) Rating|BUPERS-312-ADM
1440-040|No-Fault Reversion to Former Rating|BUPERS-32
1450-010|Reduction in Rate|PERS-832
1500-010|Survival Training Requirements|OPNAV (N889J)
1500-020|First Aid Training Requirements|BUMED (N7)
1500-030|Medical Department Schools|PERS-4415
1510-030|Advanced Electronics Field, Advanced Technical Field, and Nuclear Field|BUPERS-312
1520-020|Officer Education Reports|PERS-451
1520-030|Submarine Officer Training|OPNAV (N13)
1520-040|Surface Warfare Officer (SWO) Department Head Screening and Training|PERS-41
1520-050|Nuclear Propulsion Training (Surface and Submarine)|OPNAV (N133)
1520-060|Nurse Candidate Program|OPNAV (N13)
1530-020|United States Military Academy and Air Force Academy|PERS-444
1531-010|Naval Academy Program|OPNAV (N731C)
1531-020|Disposition of Midshipmen Disenrolled from the Naval Academy|Naval Academy
1540-010|Required Service of Officers Disenrolled from Special Navy Training|PERS-454
1542-010|Lateral Transfer Into Naval Aviation|BUPERS-313
1542-020|Aviation Officer Cross-Training in Different Type Aircraft|PERS-432
1570-010|Training and Participation of Naval Reserve Flag Officers on|PERS-491
1600-010|Deserters|PERS-00D1
1600-020|Apprehension of Absentees and Deserters|PERS-00D1
1600-030|Acceptance and Disposition of Returned Deserters|PERS-00D
1600-040|Procedures for Commands to Which Enlisted and Officer Absentees are|PERS-00D
1600-050|Procedures When an Enlisted Absentee Returns to|PERS-00D1
1600-060|Declaration of Desertion|PERS-00D2
1600-070|Declaration of Return from Desertion|PERS-00D1
1600-090|Removal of Marks of Desertion|PERS-00D1
1600-100|Lost Time|BUPERS-00J
1600-120|Procedures for Reporting Members as Failed to Report under|CNIC (N-141)
1610-010|Navy Performance Evaluation and Counseling System|PERS-32
1610-015|Documentation on Fitness Reports and Performance Evaluations for Failure|PERS-454  PERS-
1610-020|Disqualification of Officers for Duty Involving Flying|PERS-4320
1610-030|Procedures for Commands to Which Inactive Reserve Enlisted|PERS-461
1610-040|NAVPERS 5354/2 (Rev. 2-02), Navy Equal Opportunity (EO)/|OPNAV (N134E)
1611-010|Officer Performance and Separations for Cause|PERS-834
1611-020|Officer Detachment for Cause (DFC)|PERS-83
1616-010|Detachment for Cause (DFC) of Enlisted Personnel|PERS-832
1616-030|Denial of Reenlistment for Career Petty Officers|PERS-832
1616-040|Enlisted Performance (E-6/7/8/9)|PERS-832
1616-050|Enlisted Performance (E-5 and Below)|PERS-832
1620-010|Interrogation and Search of Service Members|BUPERS-00J
1620-020|Reservists Subject to the Uniform Code of Military Justice (UCMJ)|BUPERS-00J
1626-010|Deferment of Disciplinary Action when Service Records are|PERS-832
1626-020|Enlisted Service Record Entries After Nonjudicial Punishment (NJP)|PERS-832
1626-030|Disposition of Enlisted Personnel Upon Completion of Disciplinary|PERS-832
1640-010|Confinement Policy|PERS-00D
1640-020|When Confinement is not Appropriate|PERS-00D1
1640-030|Types of Navy Confinement Facilities, Military Correctional Facilities and|BUPERS-00D
1640-060|When to Transfer Post-Trial Prisoners Using Permanent Change of Station|PERS-00D
1640-090|Who Pays for the Transfer|PERS-00D1
1640-100|What the Member Needs Upon Initial Transfer to Confinement|PERS-00D1
1640-105|Transferring Prisoners between Confinement Facilities|PERS-00D1
1640-110|Transporting Personnel to Confinement Facilities|PERS-00D
1640-140|Escaped Prisoners|PERS-00D
1640-150|Navy Parolees/Supervised Releasees|PERS-00D
1700-010|Political Activity of Members on Active Duty|BUPERS-00J
1700-020|Participation in Civil Rights Demonstrations|BUPERS-00J
1710-010|Operation of Navy Morale, Welfare, and Recreation (MWR)|CNI (N25)
1730-010|Use of Lay Leaders in Religious Services|OPNAV (N097)
1730-020|Immunization Exemptions for Religious Beliefs|OPNAV (N131)
1731-010|Religious Observances|OPNAV (N097)
1740-020|Information Concerning Pregnant Members|OPNAV (N1D)
1740-030|Maternity Care Available Before and After Separation|OPNAV (N17)
1741-020|Government Life Insurance|PERS-00C
1741-030|Family Servicembers' Group Life Insurance (FSGLI)|PERS-00C
1746-010|Procedures when Government Messing is not Available|OPNAV (N130)
1746-020|Procedures when Authorized to Mess Separately|OPNAV (N130)
1746-030|Meal Passes for Enlisted Personnel|OPNAV (N130)
1750-010|Transportation of Student Dependents Between CONUS and|OPNAV (N13)
1754-010|SEA LEGS|CNI (N212)
1754-020|Family Contacts and Assistance During Deployment|CNI (N215)
1754-030|Support of Family Members|BUPERS-00J
1754-040|Military Spouse Licensure and Business Costs Reimbursement|OPNAV (N17)
1770-010|Definitions and Acronyms|PERS-00C
1770-020|Duty Status-Whereabouts Unknown (DUSTWUN) and "Missing" Status|PERS-00C
1770-030|Personnel Casualty Report Procedures|PERS-00C
1770-040|Reporting the Death of Non-Active Duty Sailors|PERS-00C
1770-060|Judge Advocate General Manual (JAGMAN) Reporting|PERS-00C
1770-090|Suicide Prevention Program|OPNAV (N17)
1770-100|Reporting Requirements in the Event of a Naval Disaster|PERS-00C
1770-140|Commanding Officer's Letter to Next of Kin|PERS-00C
1770-150|Release of Casualty Information to the Media or General Public|PERS-00C
1770-160|Casualty Assistance Calls Program (CACP)|PERS-00C
1770-170|Notification of Next of Kin in Case of Death, "Duty Status Whereabouts|PERS-00C
1770-200|Deceased Member Personal Effects|PERS-00C
1770-210|Manual for Escorts of Deceased Naval Personnel|PERS-00C
1770-230|Wounded, Ill, and Injured Sailors: Casualty Reporting, Notification, and|PERS-00C
1770-260|Civilian Employee Casualty Reporting, Notification, and Assistance|PERS-00C
1770-270|Funeral Travel|PERS-00C
1770-271|Memorial Service Travel|PERS-00C
1770-275|Presentation of Burial Flags|PERS-00C
1770-280|Death Gratuity|PERS-00C
1772-010|Rerserve Component Survivor Benefit Plan (RC-SBP)|PERS-912
1780-011|Transfer of Education Benefits|PERS-311
1800-010|General Guidelines for Conducting Ceremony for Retirement or Transfer to|PERS-835
1800-020|Effective Date of Retirement, Issuance of Retirement Orders and|PERS-836
1800-040|Placement on Retired List and Responsibility of the Retiree|PERS-83
1800-060|Authorization of Naval Reserve Retirement Point Credit for Instruction|PERS-912
1800-070|Benefits of the Armed Forces Retirement Home (United States|PERS-00C
1810-010|Voluntary Retirement of Enlisted Personnel - 30 or More Years of Active|PERS-836
1810-020|Submission of Application for Voluntary Retirement from Active Duty (Officer)|PERS-835
1810-080|Enrollment in the Blended Retirement System|OPNAV (N13)
1810-081|Continuation Pay for Service Members Enrolled in the Blended Retirement|OPNAV (N13)
1810-082|Lump Sum Payment of the Retirement Annuity for Service Members Enrolled|OPNAV (N13)
1811-010|Retention on or Recall to Active Duty in a Retired Status|PERS-8353
1820-010|Retirement of Members of the Fleet Reserve|PERS-912
1820-020|Non-Regular Reserve Retirement Without Pay - Qualification, Procedures,|PERS-912
1820-030|Non-Regular Reserve Retirement With Pay - Qualification, Procedures,|PERS-912
1820-040|Notification of Eligibility Retired Pay for Non-Regular Reserve|PERS-95
1820-050|Requirements for a Year of Qualifying Service Toward a Non-Regular|PERS-912
1830-010|Members of Fleet Reserve Subject to the Uniform Code of Military Justice|PERS-83
1830-020|Officers Appointed from the Fleet Reserve|PERS-83
1830-030|Physical Examination in Connection with Retirement, Transfers to Fleet|PERS-83
1830-040|Transfer to Fleet Reserve and Release from Active Duty - 20 Years|PERS-836
1830-060|Travel or Residence Outside the United States by Fleet Reservists|PERS-83
1830-070|Duties of Enlisted Members Transferred to the Fleet Reserve|PERS-83
1850-010|General Information Regarding Physical Disability Retirement|PERS-83
1850-020|Action Following Approved Disability Retirement|PERS-954
1850-030|Temporary Disability Retired List|PERS-95
1850-040|Officers on the Temporary Disability Retired List (TDRL)|PERS-83
1900-015|Separation, Fleet Reserve, and Retirement Document Submission|MNCC
1900-020|Convenience of the Government - Separation Based on|PERS-832
1900-030|Separation of Enlisted or Officer Personnel by Reason of|PERS-832
1900-040|Transfer to the Retired List, Retired Reserve, or the Fleet Reserve in a|PERS-832
1900-120|Separation by Reason of Convenience of the Government - Medical|PERS-832
1900-808|Physical Examination for Separation|PERS-832
1910-010|Separation by Reaspon of Convenience of the Government - Dependency or|PERS-832
1910-050|Enlisted Involuntary Separation Pay (Non-Disability) - Reserve Requirements|OPNAV (N13)
1910-100|Reasons for Separation|PERS-832
1910-102|Separation by Reason of Changes in Service Obligation (Active Duty and|PERS-832
1910-104|Separation by Reason of Expiration of Active Obligated Service (EAOS)|PERS-832
1910-106|Separation in Lieu of Trial by Court-Martial|PERS-832
1910-108|Separation by Reason of Convenience of the Government -|PERS-832
1910-110|Separation by Reason of Convenience of the Government - Hardship|PERS-40HH
1910-112|Separation by Reason of Convenience of the Government - Pregnancy|PERS-832
1910-118|Separation by Reason of Convenience of the Government - When a|PERS-911
1910-124|Separation by Reason of Convenience of the Government -|PERS-832
1910-125|Failure to Complete Initial Skills Training Pipeline|OPNAV (N132)
1910-126|Separation by Reason of Convenience of the Government - Review Action|PERS-832
1910-127|Separation by Reason of Convenience of the Government - Being an Alien|PERS-832
1910-128|Separation by Reason of Defective Enlistments and Inductions - Minor|PERS-832
1910-130|Separation by Reason of Defective Enlistments and Inductions - Erroneous|PERS-832
1910-132|Separation by Reason of Defective Enlistments and Inductions - Defective|PERS-832
1910-133|Failure to Complete Change of Rating (Conversion) Process|PERS-832
1910-134|Separation by Reason of Defective Enlistments and Inductions - Fraudulent|PERS-832
1910-136|Separation From the Delayed Entry Program (DEP)|PERS-832
1910-138|Separation by Reason of Misconduct - Minor Disciplinary Infractions|PERS-832
1910-140|Separation by Reason of Misconduct - Pattern of Misconduct|PERS-832
1910-142|Separation by Reason of Misconduct - Commission of a Serious|PERS-832
1910-144|Separation by Reason of Misconduct - Civilian Conviction|PERS-832
1910-146|Separation by Reason of Misconduct - Drug Abuse|PERS-832
1910-152|Separation by Reason of Non-Compliance with Alcohol Rehabilitation|PERS-832
1910-153|Separation by Reason of Multiple Incidents of Driving Under the Influence|PERS-832
1910-154|Separation by Reason of Entry-Level Performance and Conduct|PERS-832
1910-156|Separation by Reason of Unsatisfactory Performance|PERS-832
1910-157|Separation by Reason of Failure to Maintain Security Clearance|PERS-832
1910-158|Separation by Reason of Unsatisfactory Participation in the Ready Reserve|PERS-913
1910-160|Separation by Reason of Supremacist or Extremist Conduct|PERS-832
1910-162|Separation by Reason of Family Advocacy Program (FAP) Rehabilitation|PERS-83CC
1910-164|Separation by Reason of Best Interest of the Service (BIOTS)|PERS-832
1910-166|Administrative Action for Fleet Reserve/Retired Reserve Eligible Personnel|PERS-832
1910-168|Separation by Reason of Physical Disability|PERS-83
1910-171|Separation By Reason of Physical Fitness Assessment (PFA) Failure|PERS-832
1910-182|Disposition of Personnel Disenrolled from a Navy Officer Candidate Program|NSTC
1910-184|Disposition of Enlisted Personnel Accepted for Appointment to the U.S.|PERS-832
1910-186|Disposition of Enlisted Personnel Disenrolled from the Military|PERS-832
1910-202|Counseling and Rehabilitation|PERS-832
1910-206|Temporary Duty (TEMDU) Transfer for Separation Processing|PERS-832
1910-208|Administrative Separation (ADSEP) Processing for Members|PERS-832
1910-210|Processing for all Reasons|PERS-832
1910-212|Factors Considered in Retention or Separation|PERS-832
1910-214|Adverse Matter From a Prior Enlistment|PERS-832
1910-216|Members Awaiting Medical Board Action|PERS-832
1910-218|Members Assigned to Limited Duty (LIMDU)|PERS-832
1910-220|Limitations on Separation Actions|PERS-832
1910-222|Suspension of Separation|PERS-832
1910-224|Action During the Period of Suspension|PERS-832
1910-226|Conditional Waivers|PERS-832
1910-228|Uniforms and Pay Upon Separation|PERS-832
1910-230|Administrative Separation Processing & Discharge in Absentia|PERS-832
1910-232|Pre-Separation Treatment for Drug/Alcohol Dependent Personnel|PERS-832
1910-233|Mandatory Separation Processing|PERS-832
1910-300|Guidelines on Characterization of Service|PERS-832
1910-302|General Considerations on Characterization of Service|PERS-832
1910-304|Description of Characterization of Service|PERS-832
1910-306|Limitations on Characterization of Service|PERS-832
1910-308|Entry Level and Uncharacterized Separations|PERS-832
1910-402|Administrative Board and Notification Procedures|PERS-832
1910-406|Consultation With Counsel Prior to Electing Rights|PERS-832
1910-408|Response Time to Notice|PERS-832
1910-410|When a Member is Processed for Multiple Reasons|PERS-832
1910-412|How to Prepare a Sworn Affidavit of Service by Mail|PERS-832
1910-414|Actions of the Commanding Officer (CO)|PERS-832
1910-500|Guidelines on Conducting an Administrative Board|PERS-832
1910-502|Administrative Board Composition|PERS-832
1910-504|Right to Counsel|PERS-832
1910-506|Senior Member of Board|PERS-832
1910-508|Witnesses at Administrative Board|PERS-832
1910-510|Presentation of Evidence|PERS-832
1910-512|Rights of the Respondent|PERS-832
1910-514|What is Binding on Administrative Boards|PERS-832
1910-516|Record of Proceedings for Administrative Separation (ADSEP) Boards|PERS-832
1910-518|Findings and Recommendations|PERS-832
1910-600|Forwarding Cases to the Separation Authority (SA)|PERS-832
1910-700|Separation Authority|PERS-4832
1910-702|General Guidance for Separation Authorities (SA)|PERS-832
1910-704|Determining Separation Authority|PERS-832
1910-708|Separation Authority Action when Using Notification Procedures or|PERS-832
1910-710|Procedures When an Administrative Separation Board was Held|PERS-832
1910-712|General Court Martial Convening Authority (GCMCA) Letter and Message|PERS-832
1910-800|Actions Which Effect the Separation|PERS-832
1910-802|Preseperation Interview of Enlisted Personnel|PERS-832
1910-804|Information to be Provided Upon Separation Regarding Claims for|PERS-832
1910-806|Acknowledgment of Service Upon Separation|PERS-832
1910-810|Issuance of Certificates, Buttons, and Pins upon Separation|PERS-832
1910-812|Place of Separation|MNCC/PERS-832
1916-010|Release From Active Duty of Reserve and Retired Enlisted Personnel|PERS-913
1920-010|Transfer of an Officer for Administrative Separation Processing|PERS-834
1920-020|Involuntary Separation Pay (Non-Disability) - Overview|PERS-83
1920-030|Involuntary Separation Pay (Non-Disability) - Definitions and Policy|OPNAV (N13)
1920-040|Involuntary Separation Pay (Non-Disability) - Eligibility Criteria and|PERS-83
1920-050|Involuntary Separation Pay (Non-Disability) - Reserve Requirements|OPNAV (N13)
1920-060|Involuntary Separation Pay (Non-Disability) - Pay Calculation and|PERS-83
1920-070|Separation of Officer Personnel by Reason of Supremacist or|PERS-834
1920-080|Release of Officers from Active Duty Prior to Completion of|PERS-834F
1920-090|Release from Active Duty (RAD) Procedures|PERS-8331
1920-100|Early Release of Officers from Active Duty|PERS-8331
1920-110|Involuntary Release from Active Duty Orders of Ready Reserve Officers|PERS-911
1920-120|Revocation of Commissions, Termination of Appointments, and|PERS-834
1920-130|Termination of Officer Status, General|PERS-834
1920-140|Separation Orders for Officers|PERS-834
1920-160|Separation of Navy Reserve Officers on Inactive Duty|PERS-4911
1920-170|Contingent Resignation for Acceptance to Attend Medical Training|PERS-834
1920-180|Separation of Officers at the Convenience of the Government on the|PERS-834F
1920-200|Officer Resignation Types and Procedures|PERS-451
1920-210|Types of Discharge for Officers|PERS-834
1920-230|Separation of Officers Under Various Statutory Provisions Not|PERS-834
1920-240|Release of Officers From Active Duty Prior to Completion of Minimum|OPNAV (N131)
1920-250|Administrative Separation of Navy Chaplain Corps Officers upon Loss of|OPNAV (N097)
1920-260|Officer Unauthorized Absence (UA)|PERS-834
3060-010|Command Individual Augmentee Coordinator (CIAC)|USFFC (N1 GFM)
3060-020|Individual Augmentee Manpower Management (IAMM)|USFFC (N1 GFM)
3060-030|Global Support Assignment (GSA)|OPNAV (N13R)
3060-040|Overseas Support Assignment (OSA)|USFFC (N1 GFM)
3060-050|Acessing the Ready Reserve|USFFC (N1 GFM)
3060-060|Delay, Derferment, and Exemption Requests and Special Cases Board|PERS-9
3060-070|Selected Reserve and Voluntary Training Unit Activation Screening Criteria|OPNAV (N13R)
3060-080|Readiness and Screening for Active Component (AC) and Reserve|USFFC (N1 GFM)
3060-090|Management of Misconduct Allegations Involving Active Component (AC)|OPNAV (N13R)
4050-010|Privately Owned Vehicle Shipment Allowance Policy|OPNAV (N130C)
4050-020|Household Goods (HHG) Shipment and Storage Entitlement Policy|OPNAV (N130)
4650-010|Entry into and Departure from the United States by Alien Members of the|BUPERS-00J
5215-010|Procedures for Preparing Articles and Submitting Changes to NAVPERS|BUPERS-00T4
5216-010|Congressional Correspondence|PERS-00L
5219-010|Obtaining Forms, Publications, and Directives Under the Purview of the|BUPERS-00T4
5312-010|Utilization of Civilian and Military Personnel in Navy Morale, Welfare,|CNIC (N25)
5352-010|Naturalization and Derived Citzenship of Military Personnel|OJAG (Code 16)
5352-020|Naturalization of Alien Spouse and/or Alien Adopted Chidren of Military|CNIC (N911A)
5352-030|Marriage of Naval Personnel to Foreign Nationals|CNIC (N911)
5360-010|Navy Military Funerals|PERS-00C
5360-020|Chaplain (Reserve Component) Support of Military Funerals|OPNAV (N097)
5370-010|Outside Employment of Members on Active Duty|OPNAV (N131)
5370-030|Restrictions on Civilian Employment of Retired Members|BUPERS-00J
5510-010|Security Clearance Requirements and Procedures for Members|PERS-4832
5726-010|Liaison with Civil Agencies|CNI (N214)
5760-010|Navy Spouse Organizations and Activities|CNIC (N911)
5800-010|Paternity Complaints|PERS-660
5812-010|Setting Aside Nonjudicial Punishments (NJP)|BUPERS-00J
5815-010|Executing a Dishonorable or Bad Conduct Discharge|NAMALA
5821-010|Delivery of Personnel to Civilian Authorities|PERS-832
6110-020|Physical Risk Classification for Officer and Enlisted Personnel on Inactive|PERS-95
6120-010|Enlisted Physical Qualifications for Certain Duty Assignment and|PERS-40
6120-020|Physical Examination and Medical Screening of Officer Personnel|PERS-451C
7000-010|Worthless Checks by Members and/or Their Families|PERS-832
7000-020|Indebtedness and Financial Responsibility of Members|PERS-832
7040-010|BUPERSINST 7040.6/7040.7, Financial Management Guide for|OPNAV (N100)
7220-010|General Information Concerning Pay and Allowances|OPNAV (N13)
7220-020|Computation of Service for Basic Pay|PERS-82
7220-030|Computation of Professional Service Dates for Special Pay of|PERS-822
7220-050|Computation of Disability Retired Pay|PERS-82
7220-070|Special Pay for Hardship Duty (HDP)|OPNAV (N130)
7220-075|Guidelines for Hardship Duty Pay (TEMPO) (HDP-T)|OPNAV (N130)
7220-080|Incentive Pay for Hazardous Duty|OPNAV (N130)
7220-090|Hazardous Duty Incentive Pay (HDIP) for Diving Duty|OPNAV (N13)
7220-100|Command Responsibility Pay (CRP)|OPNAV (N130)
7220-110|Special Pay for Duty Subject to Imminent Danger/Hostile Fire|OPNAV (N130)
7220-112|Pay and Allowance Continuation Program (PAC)|OPNAV (N130)
7220-113|Special Compensation for Assistance With Activities of Daily Living|CNIC
7220-114|Naval Special Warfare Skill Incentive Pay|OPNAV (N137)
7220-120|Family Separation Allowance (FSA)|OPNAV (N130)
7220-130|Methods of Computing Retainer Pay for a Member of the Fleet Reserve|PERS-823
7220-150|Basic Allowance for Subsistence (BAS) - Specialized Terms|OPNAV (N130)
7220-160|Basic Allowance for Subsistence (BAS) - General Policies|OPNAV (N130)
7220-180|Basic Allowance for Subsistence (BAS) - Procedures for Service Members|OPNAV (N130)
7220-182|Basic Allowance for Subsistence (BAS) II|OPNAV (N130)
7220-210|Dislocation Allowance and SECNAVFIND|PERS-451
7220-220|Dislocation Allowance (DLA) Entitlement Policy|OPNAV (N130E)
7220-230|Civilian Clothing Allowance (CCA) for Officers and Enlisted|OPNAV (N131U)
7220-240|Overseas Station Allowances Policy|OPNAV (N13)
7220-250|Overseas Cost-of-Living Allowance (COLA) Policy|OPNAV (N13)
7220-260|Overseas Housing Allowance Policy|OPNAV (N130E)
7220-270|Overseas Temporary Lodging Allowance (TLA) Policy|OPNAV (N130E)
7220-280|Continental United States (CONUS) Temporary Lodging Expense (TLE)|OPNAV (N130E)
7220-300|Advance Pay on Permanent Change of Station|OPNAV (N13)
7220-310|Advance Pay and Allowances|OPNAV (N13)
7220-320|Pay and Allowances While on Leave|OPNAV (N13)
7220-330|Checkage of Pay for Excess Leave|OPNAV (N13)
7220-340|Lump-Sum Payment for Accrued Leave|OPNAV (N130)
7220-350|Pay and Allowance While Awaiting on Leave Orders or|OPNAV (N13)
7220-360|Entitlement to Pay and Allowances While Under Investigation for|OPNAV (N13)
7220-370|Pay Accounts of Retiring Personnel|PERS-835
7220-380|Dual Compensation Regulation Applicable to the Navy Reserve|OPNAV (N130)
7220-390|Sell Back of Leave|OPNAV (N13)
7220-410|Retroactive Stop Loss Special Pay Compensation|OPNAV (N130)

# CANCELLED OR SUSPENDED — 256 articles. These numbers exist but are DEAD.
# They must NEVER be cited as current authority.

1000-010 1000-040 1000-050 1000-070 1000-080 1000-131 1001-010 1001-050 1001-155 1050-020
1050-030 1050-040 1050-060 1050-300 1050-330 1050-370 1050-380 1050-390 1050-420 1050-430
1050-435 1070-010 1070-040 1070-050 1070-060 1070-070 1070-100 1070-110 1070-120 1070-130
1070-140 1070-160 1070-170 1070-180 1070-190 1070-200 1070-210 1070-220 1070-280 1070-290
1070-350 1100-010 1100-040 1131-010 1131-020 1131-030 1132-010 1133-010 1133-030 1133-040
1133-050 1133-080 1160-080 1160-090 1160-110 1160-130 1200-060 1210-050 1210-060 1210-070
1210-080 1210-140 1210-290 1212-060 1212-070 1212-080 1213-010 1214-020 1220-061 1220-085
1220-090 1220-110 1220-120 1220-130 1220-140 1220-150 1220-160 1220-170 1220-180 1220-190
1220-210 1220-220 1220-230 1220-231 1220-232 1220-233 1220-240 1220-250 1220-260 1220-270
1220-290 1220-301 1220-302 1220-310 1220-320 1220-330 1220-340 1221-010 1221-020 1223-020
1300-020 1300-025 1300-027 1300-028 1300-030 1300-040 1300-050 1300-080 1300-140 1300-300
1300-304 1300-318 1300-319 1300-801 1301-010 1301-020 1301-030 1301-204 1301-206 1301-218
1301-225 1301-231 1301-232 1301-400 1301-807 1301-811 1301-822 1306-010 1306-020 1306-138
1306-140 1306-250 1306-606 1306-608 1306-610 1306-612 1306-801 1306-903 1306-908 1306-909
1306-910 1306-911 1306-922 1306-923 1306-932 1306-933 1306-938 1306-941 1306-951 1306-952
1306-963 1306-967 1306-969 1306-974 1306-977 1306-978 1306-988 1320-010 1320-040 1320-050
1320-070 1320-080 1320-130 1320-150 1320-155 1320-160 1320-180 1320-190 1320-302 1320-304
1320-318 1321-010 1326-021 1326-030 1331-010 1331-020 1420-020 1420-040 1430-030 1440-030
1440-050 1440-060 1510-010 1510-020 1520-010 1521-010 1530-010 1533-010 1533-020 1542-030
1600-080 1600-110 1616-020 1630-010 1630-020 1640-040 1640-050 1640-070 1640-080 1640-120
1640-130 1700-030 1731-020 1740-010 1741-010 1742-010 1746-040 1770-050 1770-070 1770-080
1770-110 1770-120 1770-130 1770-180 1770-190 1770-220 1770-240 1770-250 1780-010 1800-030
1800-050 1830-050 1900-010 1910-101 1910-120 1910-122 1910-148 1910-150 1910-170 1910-180
1910-200 1910-204 1910-400 1910-404 1910-706 1910-808 1910-900 1916-020 1920-150 1920-190
1920-220 4650-020 4650-030 5000-010 5370-020 6110-010 6150-010 6320-010 7220-040 7220-060
7220-140 7220-170 7220-190 7220-200 7220-290 7220-400
